9,County Name,County Code FIPS,ZIP Code Tabulation Area (5-Digit),SAEP Version,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,Estimated Total Population 2020,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2020,Percent Change in Population 2010 to 2020
104,Douglas,017,99115,"September 16, 2020",164.022,161.506,158.299,158.116,156.642,155.756,157.174,157.619,158.29,158.48,157,156.759,159.098,160.557,161.714,162.307,166.99,169.24,151.324,152.528,155.917,-7.022,(    4.281%),-1.083,(    0.690%)
105,Douglas,017,99116,"September 16, 2020",125.018,129.759,133.763,140.244,145.567,151.397,159.536,166.834,174.477,181.706,187,185,185,185,185,185,185,185,185,185,185,61.982,0.49578,-2,(    1.070%)
106,Douglas,017,99133,"September 16, 2020",118.017,114.628,110.788,109.089,106.502,104.337,103.67,102.341,101.128,99.607,97,96.481,96.537,97.558,96.292,95.751,97.24,98.759,99.97,103.29,103.625,-21.017,(   17.808%),6.625,0.0683
107,Ferry,019,99118,"September 16, 2020",1041.339,1037.479,1027.572,1015.017,995.889,986.054,978.698,966.691,957.643,947.171,931,936.642,939.124,939.47,940.103,943.132,941.943,945.239,951.664,968.236,979.039,-110.339,(   10.596%),48.039,0.0516
108,Ferry,019,99121,"September 16, 2020",158.154,157.93,156.789,155.246,152.693,151.561,150.811,149.347,148.338,147.112,145,145.297,147.367,146.103,146.143,151.617,150.23,151.608,151.496,152.993,155.577,-13.154,(    8.317%),10.577,0.07294
109,Ferry,019,99138,"September 16, 2020",1176.12,1187.632,1192.356,1194.034,1187.776,1192.501,1200.263,1202.406,1208.259,1212.278,1209,1216.301,1223.137,1218.422,1219.82,1227.782,1219.913,1225.105,1226.767,1227.978,1232.55,32.88,0.02796,23.55,0.01948
110,Ferry,019,99140,"September 16, 2020",442.412,448.799,452.612,455.26,454.878,458.686,463.677,466.493,470.748,474.322,475,476.767,477.853,475.242,474.761,476.673,473.636,473.647,474.303,474.022,477.604,32.588,0.07366,2.604,0.00548
111,Ferry,019,99141,"September 16, 2020",951.926,965.832,974.24,980.134,979.511,987.902,998.847,1005.11,1014.461,1022.36,1024,1029.606,1047.033,1037.956,1038.46,1052.392,1056.573,1065.936,1071.931,1076.442,1088.388,72.074,0.07571,64.388,0.06288
112,Ferry,019,99146,"September 16, 2020",48.048,49.184,50.042,50.774,51.162,52.019,53.014,53.759,54.672,55.508,56,56.111,56.126,55.643,57.077,57.214,56.693,56.557,56.512,56.339,56.442,7.952,0.1655,0.442,0.00789
113,Ferry,019,99150,"September 16, 2020",394.503,395.796,394.799,392.785,388.201,387.219,387.21,385.39,384.746,383.53,380,381.644,381.749,384.265,382.641,383.69,384.655,388.849,390.404,393.057,395.562,-14.503,(    3.676%),15.562,0.04095
114,Ferry,019,99155,"September 16, 2020",22.019,21.669,21.188,20.653,19.985,19.508,19.077,18.556,18.09,17.598,17,17.05,17.08,17.006,16.992,17.046,16.961,16.961,16.98,16.971,17.021,-5.019,(   22.794%),0.021,0.00124
115,Ferry,019,99160,"September 16, 2020",132.13,134.75,136.611,138.12,138.699,140.557,142.777,144.334,146.331,148.12,149,149.355,149.448,148.135,147.641,150.512,150.976,150.621,150.517,152.009,152.33,16.87,0.12768,3.33,0.02235
116,Ferry,019,99166,"September 16, 2020",2893.349,2940.929,2971.791,2994.977,2998.206,3028.993,3067.626,3091.914,3125.712,3155.001,3165,3191.227,3211.083,3227.758,3236.362,3249.942,3248.42,3265.477,3289.426,3311.953,3355.487,271.651,0.09389,190.487,0.06019
117,Franklin,021,99301,"September 16, 2020",40749.074,42031.299,43867.964,46376.177,49773.717,53459.38,56986.226,60013.48,62555.583,65298.672,68191,69569.159,71391.116,73461.449,75439.159,75947.878,77394.309,78861.92,81049.977,83095.179,85131.442,27441.926,0.67344,16940.442,0.24843
118,Franklin,021,99326,"September 16, 2020",3674.285,3672.428,3724.846,3836.357,4020.096,4223.775,4411.856,4559.566,4670.274,4796.252,4933,5873.05,6045.328,6104.298,6066.92,6125.872,6106.122,6210.876,6209.592,6253.872,6255.596,1258.715,0.34257,1322.596,0.26811
119,Franklin,021,99330,"September 16, 2020",885.369,857.7,844.099,844.413,860.277,879.548,894.763,901.333,900.553,902.792,907,924.903,925.686,976.361,957.387,960.321,976.463,1008.033,1003.17,1014.68,1029.93,21.631,0.02443,122.93,0.13553
120,Franklin,021,99335,"September 16, 2020",393.545,375.142,363.217,357.401,358.081,359.965,359.972,356.385,349.887,344.571,340,336.839,341.566,347.219,333.234,334.898,338.899,321.445,310.378,311.013,311.676,-53.545,(   13.606%),-28.324,(    8.331%)
121,Franklin,021,99343,"September 16, 2020",2965.673,2873.151,2827.778,2829.004,2882.329,2947.089,2998.248,3020.453,3018.025,3025.694,3040,3049.945,3051.31,3135.574,3050.428,3032.089,3086.484,3146.474,3191.096,3219.522,3236.176,74.327,0.02506,196.176,0.06453
122,Franklin,021,99344,"September 16, 2020",662.053,647.913,644.053,650.676,669.375,690.956,709.577,721.475,727.497,735.935,746,740.138,739.059,768.595,746.992,743.201,761.633,774.937,769.842,779.732,789.087,83.947,0.1268,43.087,0.05776
123,Franklin,021,99359,"September 16, 2020",9.001,8.022,7.211,6.533,5.966,5.398,4.781,4.104,3.392,2.694,2,1.982,1.966,2.19,1.949,1.907,2.047,2.137,2.086,2.11,2.147,-7.001,(   77.780%),0.147,0.0735
124,Franklin,021,99371,"September 16, 2020",8,7.345,6.832,6.439,6.159,5.889,5.577,5.204,4.789,4.39,4,3.984,3.969,4.314,3.931,3.834,4.043,4.178,3.859,3.892,3.946,-4,(   50.000%),-0.054,(    1.350%)
125,Garfield,023,99347,"September 16, 2020",2348.64,2331.214,2311.835,2292.468,2267.261,2254.74,2243.183,2221.902,2210.34,2201.68,2193,2177.9,2177.66,2177.304,2168.616,2187.88,2131.522,2131.522,2140.95,2150.946,2156.168,-155.64,(    6.627%),-36.832,(    1.680%)
126,Garfield,023,99403,"September 16, 2020",48.36,50.786,53.165,55.532,57.739,60.26,62.817,65.098,67.66,70.32,73,72.1,72.34,72.696,71.384,72.12,68.478,68.478,69.05,69.054,68.832,24.64,0.50951,-4.168,(    5.710%)
127,Grant,025,98823,"September 16, 2020",9724.971,9821.645,9898.382,9912.746,10047.29,10138.223,10296.106,10486.959,10716.699,10881.454,11004,11075.994,11164.649,11312.585,11406.711,11485.02,11558.459,11575.654,11729.023,11810.989,11872.377,1279.029,0.13152,868.377,0.07891
128,Grant,025,98824,"September 16, 2020",265.029,255.811,246.171,235.169,227.134,218.143,210.593,203.617,197.226,189.494,181,275.835,279.969,295.382,295.382,296.518,296.292,296.292,296.292,304.073,311.097,-84.029,(   31.706%),130.097,0.71877
129,Grant,025,98832,"September 16, 2020",282.111,282.404,282.142,280.141,281.567,281.766,283.833,286.787,290.772,292.956,294,296.744,297.261,300.276,303.864,308.717,310.135,310.005,309.561,320.954,321.089,11.889,0.04214,27.089,0.09214
130,Grant,025,98837,"September 16, 2020",32302.538,32939.825,33507.584,33859.199,34618.23,35226.19,36066.72,37025.498,38126.124,38999.272,39722,40011.788,40496.339,40857.528,41404.542,42024.993,42305.368,42848.937,43919.087,44604.802,45221.856,7419.462,0.22969,5499.856,0.13846
131,Grant,025,98848,"September 16, 2020",9551.933,9712.594,9852.951,9930.199,10127.196,10280.06,10500.8,10755.744,11051.516,11281.042,11467,11688.382,11866.949,11942.505,12234.482,12339.627,12454.606,12592.357,12769.253,13144.947,13372.906,1915.067,0.20049,1905.906,0.16621
132,Grant,025,98851,"September 16, 2020",3975.835,3967.04,3950.58,3909.992,3917.292,3907.697,3923.917,3952.285,3994.622,4012.153,4014,4039.086,4054.839,4069.134,4114.838,4095.845,4139.03,4169.717,4224.202,4240.627,4249.656,38.165,0.0096,235.656,0.05871
133,Grant,025,98853,"September 16, 2020",35.92,34.517,33.061,31.423,30.184,28.817,27.642,26.537,25.509,24.304,23,25.101,25.23,25.178,25.351,25.347,25.17,25.147,25.075,23.986,23.861,-12.92,(   35.969%),0.861,0.03743
134,Grant,025,98857,"September 16, 2020",3720.985,3730.23,3732.129,3710.941,3735.024,3742.964,3775.61,3820.118,3878.403,3912.83,3932,3936.54,3945.314,3953.589,3974.166,3976.782,3995.502,4007.796,4026.432,4052.503,4081.517,211.015,0.05671,149.517,0.03803
135,Grant,025,98860,"September 16, 2020",287.98,284.175,279.852,273.872,271.277,267.517,265.53,264.332,264.02,262.024,259,259.285,259.129,263.004,259.224,258.977,258.517,276.645,268.467,272.554,268.434,-28.98,(   10.063%),9.434,0.03642
136,Grant,025,99103,"September 16, 2020",33.013,33.31,33.52,33.552,33.964,34.24,34.733,35.363,36.094,36.617,37,37.209,37.349,37.291,37.515,37.569,37.527,37.498,37.239,37.184,36.736,3.987,0.12077,-0.264,(    0.714%)
137,Grant,025,99115,"September 16, 2020",971.126,969.514,966.037,956.654,958.995,957.191,961.704,969.206,980.139,985,986,1010.843,1025.704,1047.163,1055.899,1064.069,1074.864,1087.144,1110.978,1131.891,1136.193,14.874,0.01532,150.193,0.15233
138,Grant,025,99116,"September 16, 2020",4,3.589,3.174,2.746,2.356,1.956,1.57,1.185,0.798,0.4,0,0,0,0,0,0,0,0,0,0,0,-4,(  100.000%),0,0
139,Grant,025,99123,"September 16, 2020",1137.371,1125.854,1112.235,1091.973,1085.172,1073.723,1069.358,1068.226,1070.725,1066.458,1058,1145.218,1086.119,1100.953,1105.231,1105.302,1112.765,1127.491,1142.387,1146.088,1145.112,-79.371,(    6.978%),87.112,0.08234
140,Grant,025,99133,"September 16, 2020",1112.865,1113.643,1112.233,1103.991,1109.224,1109.665,1117.441,1128.707,1144.012,1152.25,1156,1172.388,1188.672,1200.115,1206.91,1207.366,1199.958,1211.252,1211.691,1213.378,1212.786,43.135,0.03876,56.786,0.04912
141,Grant,025,99135,"September 16, 2020",267.068,265.015,262.443,258.33,257.37,255.315,254.951,255.39,256.648,256.329,255,255.365,255.427,260.038,260.388,264.921,259.785,259.536,259.286,257.809,258.061,-12.068,(    4.519%),3.061,0.012
142,Grant,025,99321,"September 16, 2020",450.454,457.054,462.71,465.42,473.748,480.014,489.451,500.474,513.385,523.201,531,533.18,529.413,528.493,530.252,530.241,529.823,527.11,526.344,520.219,512.765,80.546,0.17881,-18.235,(    3.434%)
143,Grant,025,99344,"September 16, 2020",1114.119,1138.589,1160.637,1175.158,1203.797,1227.174,1258.655,1294.287,1334.901,1367.587,1395,1425.103,1439.933,1446.887,1474.024,1509.871,1523.86,1546.674,1551.961,1563.746,1574.922,280.881,0.25211,179.922,0.12898
144,Grant,025,99349,"September 16, 2020",5694.609,5954.537,6200.708,6404.581,6684.09,6934.1,7229.865,7550.535,7902.128,8208.217,8483,8557.38,8659.765,8726.601,8751.184,8899.275,9074.16,9276.077,9429.77,9556.089,9692.18,2788.391,0.48965,1209.18,0.14254
145,Grant,025,99357,"September 16, 2020",3766.073,3809.654,3845.451,3856.913,3915.09,3956.245,4023.521,4103.75,4199.279,4269.412,4323,4354.559,4387.939,4433.278,4460.037,4499.56,4454.179,4454.668,4512.952,4538.161,4838.452,556.927,0.14788,515.452,0.11923
146,Grays Harbor,027,98520,"September 16, 2020",21439.24,21982.186,22207.552,22335.069,22593.56,22890.596,23196.676,23401.061,23540.492,23684.988,23814,23802.56,23837.603,23782.741,23772.393,23647.753,23589.493,23531.436,23600.125,23719.179,23775.79,2374.76,0.11077,-38.21,(    0.160%)
147,Grays Harbor,027,98526,"September 16, 2020",433.57,436.074,432.166,426.4,423.168,420.635,418.224,413.967,408.608,403.404,398,398.857,398.864,397.835,395.973,394.878,386.448,386.702,388.511,386.032,379.711,-35.57,(    8.204%),-18.289,(    4.595%)
148,Grays Harbor,027,98535,"September 16, 2020",474.106,477.836,474.553,469.227,466.684,464.913,463.282,459.616,454.71,449.972,445,445.738,443.686,440.377,439.886,439.464,430.226,426.508,430.002,432.272,437.846,-29.106,(    6.139%),-7.154,(    1.608%)
149,Grays Harbor,027,98536,"September 16, 2020",237.838,238.469,235.58,231.689,229.173,227.035,224.958,221.889,218.236,214.664,211,211.248,214.865,213.322,211.732,210.734,201.096,199.946,199.094,197.471,199.746,-26.838,(   11.284%),-11.254,(    5.334%)
150,Grays Harbor,027,98537,"September 16, 2020",2025.193,2055.947,2056.725,2048.551,2052.479,2059.842,2067.918,2066.908,2060.268,2054.224,2047,2049.744,2044.749,2053.694,2047.918,2039.608,2045.354,2053.93,2061.373,2075.75,2092.388,21.807,0.01077,45.388,0.02217
151,Grays Harbor,027,98541,"September 16, 2020",7809.261,8011.164,8097.379,8147.903,8246.16,8358.531,8474.208,8552.754,8607.507,8664.103,8715,8698.419,8722.126,8727.832,8768.892,8746.783,8679.342,8745.911,8848.019,8894.961,8978.167,905.739,0.11598,263.167,0.0302
152,Grays Harbor,027,98547,"September 16, 2020",953.156,958.76,950.273,937.703,930.707,925.241,920.046,910.799,899.12,887.78,876,887.066,893.302,893.981,893.376,887.331,868.92,874.256,886.678,880.2,887.584,-77.156,(    8.095%),11.584,0.01322
153,Grays Harbor,027,98550,"September 16, 2020",11913.415,12027.38,11965.148,11851.242,11807.597,11783.517,11763.145,11690.996,11587.393,11487.719,11382,11323.259,11341.778,11285.661,11295.843,11252.076,11226.475,11195.166,11209.672,11171.468,11162.93,-531.415,(    4.461%),-219.07,(    1.925%)
154,Grays Harbor,027,98552,"September 16, 2020",513.085,519.797,518.921,515.791,515.715,516.495,517.451,516.128,513.41,510.846,508,509.041,507.854,506.543,504.233,493.084,488.924,484.93,486.648,483.089,486.486,-5.085,(    0.991%),-21.514,(    4.235%)
155,Grays Harbor,027,98557,"September 16, 2020",2805.449,2881.05,2915.075,2936.231,2974.582,3018.034,3062.696,3093.937,3116.562,3139.826,3161,3166.548,3165.645,3170.621,3178.079,3191.181,3173.512,3210.733,3302.984,3351.858,3409.594,355.551,0.12674,248.594,0.07864
156,Grays Harbor,027,98559,"September 16, 2020",88.014,89.76,90.202,90.25,90.83,91.562,92.329,92.691,92.798,92.927,93,92.181,92.183,91.999,91.651,91.523,90.215,86.921,87.276,86.865,85.856,4.986,0.05665,-7.144,(    7.682%)
157,Grays Harbor,027,98562,"September 16, 2020",216.035,216.946,214.664,211.459,209.516,207.914,206.371,203.918,200.927,198.01,195,195.481,195.486,208.212,207.112,205.561,201.293,200.477,203.643,204.045,204.7,-21.035,(    9.737%),9.7,0.04974
158,Grays Harbor,027,98563,"September 16, 2020",7307.187,7480.508,7545.61,7577.551,7653.949,7743.379,7835.817,7893.882,7930.099,7968.104,8001,8035.907,8047.806,8057.521,8018.67,8012.766,7958.661,7987.361,8063.33,8078.441,8109.111,693.813,0.09495,108.111,0.01351
159,Grays Harbor,027,98568,"September 16, 2020",2321.375,2369.468,2383.185,2386.454,2403.772,2425.151,2447.44,2458.981,2463.754,2469.146,2473,2484.324,2490.855,2486.496,2484.698,2470.631,2444.588,2440.48,2455.194,2455.347,2473.27,151.625,0.06532,0.27,0.00011
160,Grays Harbor,027,98569,"September 16, 2020",4101.834,4330.156,4497.63,4644.571,4818.288,5000.594,5185.481,5347.799,5494.605,5641.636,5784,5830.565,5958.636,6027.731,6090.299,6142.876,6161.303,6260.404,6428.877,6697.288,6897.796,1682.166,0.4101,1113.796,0.19257
161,Grays Harbor,027,98571,"September 16, 2020",407.066,420.501,427.908,433.405,441.435,450.226,459.212,466.188,471.852,477.596,483,493.648,513.948,575.274,617.223,610.562,626.889,645.316,698.366,790.515,859.304,75.934,0.18654,376.304,0.7791
162,Grays Harbor,027,98575,"September 16, 2020",285.544,283.732,277.7,270.499,264.92,259.765,254.665,248.439,241.575,234.83,228,230.438,230.107,229.475,228.579,228.468,224.029,221.84,220.408,218.779,219.125,-57.544,(   20.152%),-8.875,(    3.893%)
163,Grays Harbor,027,98583,"September 16, 2020",133.021,133.981,132.972,131.393,130.593,130.011,129.466,128.349,126.89,125.479,124,124.241,122.085,121.287,120.268,119.213,115.382,111.159,111.764,110.438,110.583,-9.021,(    6.782%),-13.417,(   10.820%)
164,Grays Harbor,027,98587,"September 16, 2020",907.148,923.465,926.355,925.201,929.493,935.358,941.558,943.618,943.097,942.832,942,993.191,993.205,991.395,994.385,990.1,977.764,975.319,979.589,977.21,978.562,34.852,0.03842,36.562,0.03881
165,Grays Harbor,027,98595,"September 16, 2020",2822.463,2871.82,2879.402,2874.411,2886.379,2903.201,2921.057,2926.08,2923.097,2920.914,2917,2927.544,2935.217,2938.003,2938.79,2935.408,2930.086,2931.205,2948.447,2948.792,2971.451,94.537,0.03349,54.451,0.01867
166,Island,029,98236,"September 16, 2020",5419.982,5427.102,5478.21,5483.559,5521.686,5595.189,5656.137,5701.944,5695.522,5680.28,5635,5622.976,5643.755,5714.931,5773.671,5835.948,6042.403,5939.879,6068.451,6163.515,6237.996,215.018,0.03967,602.996,0.10701
167,Island,029,98239,"September 16, 2020",5743.416,5818.264,5940.446,6013.179,6121.846,6270.579,6406.321,6525.67,6585.176,6633.74,6646,6677.704,6764.264,6832.212,6883.903,6938.214,7067.056,6997.461,7104.292,7217.423,7287.013,902.584,0.15715,641.013,0.09645
168,Island,029,98249,"September 16, 2020",3840.044,3901.802,3995.342,4055.655,4140.186,4251.974,4355.12,4447.239,4498.579,4542.314,4561,4582.745,4601.367,4663.869,4733.388,4794.357,4987.281,4923.143,5024.46,5130.24,5230.549,720.956,0.18775,669.549,0.1468
169,Island,029,98253,"September 16, 2020",1655.677,1669.388,1696.662,1709.789,1733.127,1767.727,1798.541,1824.671,1834.072,1840.505,1837,1859.035,1881.315,1914.042,1940.386,1960.915,2032.932,2010.839,2066.459,2108.458,2167.96,181.323,0.10952,330.96,0.18016
170,Island,029,98260,"September 16, 2020",4856.88,4886.053,4954.882,4982.379,5039.651,5129.513,5208.212,5273.242,5289.933,5298.182,5278,5319.787,5370.83,5429.381,5491.936,5574.178,5764.446,5720.479,5830.081,5954.969,6055.154,421.12,0.08671,777.154,0.14724
171,Island,029,98277,"September 16, 2020",35344.998,35498.842,35940.552,36082.313,36439.713,37032.088,37542.983,37954.601,38018.396,38022.283,37823,37934.281,38007.552,37962.591,37866.666,38050.949,38832.916,38939.359,39087.721,39429.372,39456.831,2478.002,0.07011,1633.831,0.0432
172,Island,029,98278,"September 16, 2020",1350,1318.01,1296.606,1264.287,1239.522,1222.29,1201.765,1177.649,1142.771,1106.511,1065,1122.995,1322.001,1259.021,1240.032,1255.038,1417.095,1668.045,1655.066,1456.083,1406.092,-285,(   21.111%),341.092,0.32027
173,Island,029,98282,"September 16, 2020",13347.003,13542.539,13848.3,14038.839,14313.269,14681.64,15019.921,15319.984,15479.551,15613.185,15661,15680.477,15758.916,15923.953,16070.018,16190.401,16765.871,16590.795,17023.47,17359.94,17688.405,2313.997,0.17337,2027.405,0.12946
174,Jefferson,031,98320,"September 16, 2020",1197.041,1202.727,1213.424,1211.693,1218.66,1235.303,1246.28,1253.136,1259.661,1255.603,1250,1265.559,1276.33,1275.488,1299.528,1306.567,1324.949,1341.02,1335.667,1345.423,1336.404,52.959,0.04424,86.404,0.06912
175,Jefferson,031,98325,"September 16, 2020",1655.103,1674.935,1701.799,1711.224,1732.875,1768.416,1796.009,1817.724,1839,1844.714,1848,1854.485,1858.083,1866.698,1882.38,1905.219,1921.248,1922.809,1942.573,1962.931,1980.577,192.897,0.11655,132.577,0.07174
176,Jefferson,031,98331,"September 16, 2020",941.033,935.337,933.479,922.082,917.344,919.792,917.874,912.867,907.605,894.767,881,873.115,891.937,888.837,899.437,910.876,903.46,901.785,890.979,912.389,903.614,-60.033,(    6.379%),22.614,0.02567
177,Jefferson,031,98339,"September 16, 2020",3063.707,3090.949,3131.101,3139.198,3169.749,3225.621,3266.858,3297.37,3327.048,3328.651,3326,3346.247,3364.285,3376.191,3410.296,3404.12,3420.403,3457.65,3459.689,3476.11,3513.46,262.293,0.08561,187.46,0.05636
178,Jefferson,031,98358,"September 16, 2020",881.034,882.918,888.462,884.918,887.734,897.578,903.269,905.96,908.415,903.239,897,902.94,908.783,917.6,934.526,947.293,957.951,973.742,978.437,992.839,1011.097,15.966,0.01812,114.097,0.1272
179,Jefferson,031,98365,"September 16, 2020",3611.09,3703.991,3812.658,3882.201,3979.259,4108.741,4220.38,4318.477,4415.63,4475.136,4528,4530.053,4543.247,4534.472,4592.298,4623.56,4663.097,4747.144,4832.799,4899.856,4954.103,916.91,0.25392,426.103,0.0941
180,Jefferson,031,98368,"September 16, 2020",12854.867,13046.084,13292.093,13401.958,13607.352,13922.263,14174.971,14381.564,14584.745,14664.312,14724,14840.45,14874.044,14945.449,15166.374,15248.945,15376.89,15469.883,15578.28,15708.14,15856.11,1869.133,0.1454,1132.11,0.07689
181,Jefferson,031,98376,"September 16, 2020",1767.114,1790.738,1821.917,1834.479,1860.095,1900.678,1932.708,1958.452,1983.73,1992.178,1998,2015.047,2031.721,2040.334,2079.112,2088.39,2069.025,2090.412,2110.244,2138.962,2160.067,230.886,0.13066,162.067,0.08111
182,Jefferson,031,98382,"September 16, 2020",322.011,331.919,343.244,351.051,361.331,374.579,386.217,396.622,406.946,413.794,420,422.104,426.57,429.931,436.049,445.03,452.977,455.555,461.332,463.35,474.568,97.989,0.3043,54.568,0.12992
183,King,033,98001,"September 16, 2020",26119.972,26684.217,27303.193,27745.212,28217.911,28712.617,29461.151,30143.274,30731.948,31288.902,31911,32003.454,32232.501,32645.655,33320.873,33575.875,34108.114,34742.519,35413.779,35936.787,36261.051,5791.028,0.22171,4350.051,0.13632
184,King,033,98002,"September 16, 2020",30243.492,30366.9,30552.156,30541.121,30568.173,30622.163,30945.394,31194.423,31345.018,31463.41,31647,31874.065,31989.729,32337.263,32637.658,32818.334,33449.973,34294.799,34763.617,35074.637,35149.616,1403.508,0.04641,3502.616,0.11068
185,King,033,98003,"September 16, 2020",41999.105,42190.747,42468.348,42473.056,42530.519,42625.337,43095.002,43461.506,43690.958,43875.495,44151,44238.495,44278.738,44381.844,44650.594,44992.397,47125.309,48912.02,49454.738,49565.975,49847.66,2151.895,0.05124,5696.66,0.12903
186,King,033,98004,"September 16, 2020",22265.887,22821.192,23423.386,23873.485,24349.415,24843.875,25558.211,26215.51,26791.815,27340.422,27946,29014.216,29833.577,30352.315,31080.466,31661.317,32946.208,33605.466,33889.833,34751.789,36271.062,5680.113,0.2551,8325.062,0.2979
187,King,033,98005,"September 16, 2020",16718.517,16808.692,16933.108,16948.673,16985.18,17036.512,17237.713,17397.763,17503.01,17590.276,17714,17681.867,17740.543,18121.062,18512.336,18400.704,19044.721,19077.453,19424.967,20059.972,20516.666,995.483,0.05954,2802.666,0.15822
188,King,033,98006,"September 16, 2020",35155.659,35256.822,35429.73,35375.199,35365.132,35386.475,35718.836,35965.151,36097.828,36193.416,36364,36437.191,36689.707,37070.359,37543.791,37512.539,38146.068,38206.653,38573.199,38917.257,39022.063,1208.341,0.03437,2658.063,0.0731
189,King,033,98007,"September 16, 2020",23260.746,23410.522,23608.014,23653.642,23728.319,23823.538,24128.397,24375.895,24546.684,24692.24,24889,24860.494,24967.972,25265.232,25692.898,25675.678,27128.174,27608.776,28197.918,28677.712,29175.289,1628.254,0.07,4286.289,0.17222
190,King,033,98008,"September 16, 2020",23945.374,23978.546,24060.511,23988.124,23946.178,23925.749,24115.488,24246.806,24301.37,24330.996,24411,24386.882,24448.761,24680.365,24959.659,24967.062,25327.949,25352.26,25483.492,26036.974,26229.871,465.626,0.01945,1818.871,0.07451
191,King,033,98010,"September 16, 2020",4644.444,4679.892,4724.881,4739.456,4759.806,4784.248,4850.803,4905.873,4945.532,4980.095,5025,5058.131,5081.192,5094.848,5133.494,5160.837,5283.838,5320.492,5367.181,5549.556,6236.846,380.556,0.08194,1211.846,0.24116
192,King,033,98011,"September 16, 2020",26523.842,26777.724,27086.273,27220.304,27387.037,27576.998,28009.849,28376.882,28654.915,28903.47,29212,29354.378,29599.829,29878.203,30295.414,31115.15,32341.511,32680.98,33297.716,34507.082,35685.298,2688.158,0.10135,6473.298,0.2216
193,King,033,98014,"September 16, 2020",6592.619,6606.175,6633.17,6617.594,6610.373,6609.078,6665.847,6706.513,6725.958,6738.507,6765,6814.909,6881.963,6908.541,7008.702,7036.431,7191.805,7382.392,7520.54,7620.049,7688.722,172.381,0.02615,923.722,0.13654
194,King,033,98019,"September 16, 2020",8416.547,8642.569,8886.377,9072.438,9268.174,9470.873,9757.433,10022.357,10256.349,10479.755,10725,10743.941,10988.65,11259.009,11559.823,11599.067,11747.651,11852.444,11991.994,12211.886,12352.592,2308.453,0.27428,1627.592,0.15176
195,King,033,98022,"September 16, 2020",21164.115,21099.02,21076.773,20919.633,20789.856,20679.372,20750.224,20769.94,20723.542,20655.908,20631,20686.07,20756.203,20891.926,21099.707,21148.358,21560.672,21602.611,21794.649,22360.171,22828.666,-533.115,(    2.519%),2197.666,0.10652
196,King,033,98023,"September 16, 2020",47645.395,47605.276,47661.91,47413.16,47225.503,47080.932,47349.611,47502.601,47504.797,47458.296,47510,47559.058,47657.25,47837.606,48109.429,48422.438,49225.258,50083.606,50635.29,50850.245,51056.817,-135.395,(    0.284%),3546.817,0.07465
197,King,033,98024,"September 16, 2020",4364.513,4490.559,4625.853,4731.054,4841.232,4954.987,5112.659,5259.051,5389.249,5513.869,5650,5630.16,5684.485,5743.637,5856.269,5899.504,5969.717,5987.028,5995.348,5997.93,6065.584,1285.487,0.29453,415.584,0.07355
198,King,033,98027,"September 16, 2020",23100.9,23391.872,23730.654,23916.306,24130.1,24363.925,24812.569,25203.509,25515.666,25801.527,26141,26303.469,26549.307,26923.229,27449.516,27695.214,28540.587,28984.071,29773.635,30143.5,31106.116,3040.1,0.1316,4965.116,0.18994
199,King,033,98028,"September 16, 2020",18697.003,18858.679,19058.855,19136.268,19236.846,19353.81,19641.233,19882.307,20060.996,20219.019,20419,20599.076,20839.024,21071.964,21266.993,21396.004,22202.972,22456.033,22788.086,23192.954,23334.07,1721.997,0.0921,2915.07,0.14276
200,King,033,98029,"September 16, 2020",13869.98,14909.491,15980.277,16944.987,17922.498,18909.573,20065.974,21183.255,22237.36,23268.251,24348,24560.413,24964.809,25777.067,26407.284,26713.444,27351.924,28549.986,29045.474,29314.833,29565.156,10478.02,0.75545,5217.156,0.21427
201,King,033,98030,"September 16, 2020",30194.74,30535.122,30937.917,31141.192,31381.447,31647.99,32193.464,32663.726,33031.727,33365.724,33769,33596.751,33907.043,34360.042,34718.418,35126.398,35562.896,36288.048,36677.001,36890.45,36901.776,3574.26,0.11837,3132.776,0.09277
202,King,033,98031,"September 16, 2020",33335.599,33641.373,34015.827,34171.139,34367.639,34593.336,35123.727,35571.453,35907.551,36206.692,36581,36456.189,36802.247,37289.94,37440.429,37743.721,38152.187,38739.099,39013.962,39019.17,39106.12,3245.401,0.09736,2525.12,0.06903
203,King,033,98032,"September 16, 2020",28479.874,29001.014,29581.596,29970.727,30393.806,30841.084,31560.794,32208.538,32756.163,33269.964,33853,33713.524,33792.753,34099.052,34214.39,34426.586,34762.827,35576.633,36297.768,36707.478,37287.21,5373.126,0.18866,3434.21,0.10144
